Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q2 
2020 ","Q3 
2020 ","Q4 
2020 ","Q1 
2021 ","Q2 
2021 ","Q3 
2021 ","Q4 
2021 ","Q1 
2022 "
Samsung ,20% ,22% ,16% ,22% ,18% ,20% ,19% ,23% 
Apple ,14% ,11% ,21% ,17% ,15% ,14% ,22% ,18% 
Xiaomi ,10% ,13% ,11% ,14% ,16% ,13% ,12% ,12% 
OPPO* ,9% ,8% ,9% ,11% ,10% ,11% ,9% ,9% 
vivo ,8% ,8% ,8% ,10% ,10% ,10% ,8% ,8% 
Others ,39% ,38% ,35% ,26% ,31% ,32% ,30% ,30% 
 ,,,,,,,,
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q1 
2020 ","Q2 
2020 ","Q3 
2020 ","Q4 
2020 ","Q1 
2021 ","Q2 
2021 ","Q3 
2021 ","Q4 
2021 "
Apple ,14% ,14% ,11% ,21% ,17% ,15% ,14% ,22% 
Samsung ,20% ,20% ,22% ,16% ,22% ,18% ,20% ,19% 
Xiaomi ,10% ,10% ,13% ,11% ,14% ,16% ,13% ,12% 
OPPO* ,8% ,9% ,8% ,9% ,11% ,10% ,11% ,9% 
vivo ,7% ,8% ,8% ,8% ,10% ,10% ,10% ,8% 
Others ,41% ,39% ,38% ,35% ,26% ,31% ,32% ,30% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q4 
2019 ","Q1 
2020 ","Q2 
2020 ","Q3 
2020 ","Q4 
2020 ","Q1 
2021 ","Q2 
2021 ","Q3 
2021 "
Samsung ,18% ,20% ,20% ,22% ,16% ,22% ,18% ,20% 
Apple ,18% ,14% ,14% ,11% ,21% ,17% ,15% ,14% 
Xiaomi ,8% ,10% ,10% ,13% ,11% ,14% ,16% ,13% 
OPPO ,8% ,8% ,9% ,8% ,9% ,11% ,10% ,11% 
vivo ,8% ,7% ,8% ,8% ,8% ,10% ,10% ,10% 
Others ,40% ,41% ,39% ,38% ,35% ,26% ,31% ,32% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q1 
2020 ","Q2 
2020 ","Q3 
2020 ","Q4 
2020 ","Q1 
2021 ","Q2 
2021 ","Q3 
2021 ","Q4 
2021 "
Apple ,14% ,14% ,11% ,21% ,17% ,15% ,14% ,22% 
Samsung ,20% ,20% ,22% ,16% ,22% ,18% ,20% ,19% 
Xiaomi ,10% ,10% ,13% ,11% ,14% ,16% ,13% ,12% 
OPPO* ,8% ,9% ,8% ,9% ,11% ,10% ,11% ,9% 
vivo ,7% ,8% ,8% ,8% ,10% ,10% ,10% ,8% 
Others ,41% ,39% ,38% ,35% ,26% ,31% ,32% ,30% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q2 
2019 ","Q3 
2019 ","Q4 
2019 ","Q1 
2020 ","Q2 
2020 ","Q3 
2020 ","Q4 
2020 ","Q1 
2021 "
Samsung ,21% ,21% ,18% ,20% ,20% ,22% ,16% ,22% 
Apple ,10% ,12% ,18% ,14% ,14% ,11% ,21% ,17% 
Xiaomi ,9% ,8% ,8% ,10% ,10% ,13% ,11% ,14% 
OPPO ,9% ,9% ,8% ,8% ,9% ,8% ,9% ,11% 
vivo ,8% ,8% ,8% ,7% ,8% ,8% ,8% ,10% 
Huawei# ,16% ,18% ,14% ,17% ,20% ,14% ,8% ,4% 
realme ,1% ,3% ,2% ,2% ,2% ,4% ,4% ,4% 
Others ,24% ,21% ,23% ,22% ,16% ,20% ,23% ,18% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q1 
2019 ","Q2 
2019 ","Q3 
2019 ","Q4 
2019 ","Q1 
2020 ","Q2 
2020 ","Q3 
2020 ","Q4 
2020 "
Apple ,12% ,10% ,12% ,18% ,14% ,14% ,11% ,21% 
Samsung ,21% ,21% ,21% ,18% ,20% ,20% ,22% ,16% 
Xiaomi ,8% ,9% ,8% ,8% ,10% ,10% ,13% ,11% 
OPPO ,8% ,9% ,9% ,8% ,8% ,9% ,8% ,9% 
vivo ,7% ,8% ,8% ,8% ,7% ,8% ,8% ,8% 
Huawei# ,17% ,16% ,18% ,14% ,17% ,20% ,14% ,8% 
realme ,1% ,1% ,3% ,2% ,2% ,2% ,4% ,4% 
Others ,24% ,24% ,21% ,23% ,22% ,16% ,20% ,23% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q4 
2018 ","Q1 
2019 ","Q2 
2019 ","Q3 
2019 ","Q4 
2019 ","Q1 
2020 ","Q2 
2020 ","Q3 
2020 "
Samsung ,18% ,21% ,21% ,21% ,18% ,20% ,20% ,22% 
Huawei# ,15% ,17% ,16% ,18% ,14% ,17% ,20% ,14% 
Xiaomi ,6% ,8% ,9% ,8% ,8% ,10% ,10% ,13% 
Apple ,17% ,12% ,10% ,12% ,18% ,14% ,14% ,11% 
OPPO ,8% ,8% ,9% ,9% ,8% ,8% ,9% ,8% 
vivo ,7% ,7% ,8% ,8% ,8% ,7% ,8% ,8% 
realme ,– ,1% ,1% ,3% ,2% ,2% ,2% ,4% 
Others ,26% ,24% ,24% ,21% ,23% ,22% ,16% ,20% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q3 
2018 ","Q4 
2018 ","Q1 
2019 ","Q2 
2019 ","Q3 
2019 ","Q4 
2019 ","Q1 
2020 ","Q2 
2020 "
Huawei# ,14% ,15% ,17% ,16% ,18% ,14% ,17% ,20% 
Samsung ,19% ,18% ,21% ,21% ,21% ,18% ,20% ,20% 
Apple ,12% ,17% ,12% ,10% ,12% ,18% ,14% ,14% 
Xiaomi ,9% ,6% ,8% ,9% ,8% ,8% ,10% ,10% 
OPPO ,9% ,8% ,8% ,9% ,9% ,8% ,8% ,9% 
vivo ,8% ,7% ,7% ,8% ,8% ,8% ,7% ,8% 
Lenovo## ,3% ,3% ,3% ,3% ,3% ,3% ,2% ,3% 
Others ,26% ,26% ,24% ,24% ,21% ,23% ,22% ,16% 
Global Smartphone Shipments Market Share (%) ,,,,,,,,
Brands ,"Q2 
2018 ","Q3 
2018 ","Q4 
2018 ","Q1 
2019 ","Q2 
2019 ","Q3 
2019 ","Q4 
2019 ","Q1 
2020 "
Samsung ,19% ,19% ,18% ,21% ,21% ,21% ,18% ,20% 
Huawei ,15% ,14% ,15% ,17% ,16% ,18% ,14% ,17% 
Apple ,11% ,12% ,17% ,12% ,10% ,12% ,18% ,14% 
Xiaomi ,9% ,9% ,6% ,8% ,9% ,8% ,8% ,10% 
OPPO ,8% ,9% ,8% ,8% ,9% ,9% ,8% ,8% 
vivo ,7% ,8% ,7% ,7% ,8% ,8% ,8% ,7% 
realme ,0% ,0% ,0% ,1% ,1% ,3% ,3% ,2% 
Others ,31% ,26% ,26% ,24% ,24% ,21% ,23% ,22% 
 ,,,,,,,,
Global Smartphone Shipments Market Share (%) ,,,,,,
Brands ,"Q3 
2018 ","Q4 
2018 ","Q1 
2019 ","Q2 
2019 ","Q3 
2019 ","Q4 
2019 "
Apple ,12% ,17% ,12% ,10% ,12% ,18% 
Samsung ,19% ,18% ,21% ,21% ,21% ,18% 
Huawei ,14% ,15% ,17% ,16% ,18% ,14% 
Xiaomi ,9% ,6% ,8% ,9% ,8% ,8% 
vivo ,8% ,7% ,7% ,8% ,8% ,8% 
OPPO ,9% ,8% ,8% ,9% ,9% ,8% 
Lenovo ,3% ,3% ,3% ,3% ,3% ,3% 
Others ,26% ,26% ,24% ,24% ,21% ,23% 
 ,,,,,,
Global Smartphone Shipments Market Share (%),,,,,
Brands ,2018 Q3 ,2018 Q4 ,2019 Q1 ,2019 Q2 ,2019 Q3 
Samsung ,19% ,18% ,21% ,21% ,21% 
Huawei# ,14% ,15% ,17% ,16% ,18% 
Apple ,12% ,17% ,12% ,10% ,12% 
Oppo ,9% ,8% ,8% ,9% ,9% 
Xiaomi ,9% ,6% ,8% ,9% ,8% 
vivo ,8% ,7% ,7% ,8% ,8% 
Realme ,0% ,1% ,1% ,1% ,3% 
Others ,29% ,28% ,26% ,26% ,21% 
 ,,,,,
